"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D5,D10,D4";"SOD-323";4;"BAT20J";;;
2;"K7,K44,K9,K32,K16,K18,K42,K6,K38,K35,K23,K49,K26,K43,K31,K41,K22,K21,K20,K34,K28,K24,K30,K50,K8,K17,K15,K51,K37,K5,K27,K33,K47,K39,K29,K45,K19,K46,K40,K48,K36,K25";"HEADER_MALE_1X1_Inkplate";42;"HEADER_MALE_1X1_Inkplate";;;
3;"C1,C4,C13,C51,C7,C2,C55,C53,C9,C12,C11,C52,C50,C3,C54,C6";"0805C";16;"4u7-TMK212AB7475KG-T";;;
4;"C60,C39,C22,C44,C45,C66,C41,C32,C33,C29,C30,C59,C63,C23,C36,C40,C64,C57,C58,C47,C20,C38,C46";"0603C";23;"100n";;;
5;"U4";"SOT-23-5";1;"MCP73831T";;;
6;"C26,C37,C62,C25,C28,C31";"0603C";6;"2u2";;;
7;"R30,R41,R39,R25,R5,R48,R38,R43,R6,R46,R45,R49,R54,R44,R7,R40,R31,R36,R53";"0603R";19;"100k";;;
8;"JP6,JP2,JP7,JP3,JP8";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
9;"PAD6,PAD7,PAD5,PAD3,PAD1,PAD2,PAD4";"PAD_4x4";7;"PAD_4x4";;;
10;"Q2,Q8,Q3";"SOT-23-3";3;"NPN";;;
11;"R35,R37,R28,R23,R20,R24";"0603R";6;"1k";;;
12;"U7";"PCF85063A";1;"PCF85063A";;;
13;"U3";"SOP-16";1;"CH340C";;;
14;"R14";"0603R";1;"47k5-RC0603FR-0747K5L";;;
15;"C5,C10,C8";"0603C";3;"10u-GRM188R61E106KA73J";;;
16;"R12,R9,R8,R11,R10";"0603R";5;"4k7";;;
17;"C56";"0603C";1;"100p";;;
18;"R27,R26";"0603R";2;"33k";;;
19;"C14,C15";"0603C";2;"2u2-GRM188R61E225MA12D";;;
20;"D7,D6";"SOT-23-3";2;"BAT54S";;;
21;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
22;"C49,C48";"0805C";2;"CL21B105KBFNNNG";;;
23;"C24,C65";"2917C";2;"DNP";;;
24;"R22,R52";"0603R";2;"47k";;;
25;"Q6,Q14,Q12,Q5,Q10,Q11";"SOT-23-3";6;"PMOS";;;
26;"Q1";"SOT-23-3";1;"DNP";;;
27;"JP4,JP1";"SMD_JUMPER";2;"SMD_JUMPER";;;
28;"R33";"0603R";1;"47R";;;
29;"R47,R1,R56,R42,R4,R57";"0603R";6;"10k";;;
30;"H4,H1,H2,H3";"Standoff_M3";4;"Standoff_M3";;;
31;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
32;"U8";"TXS0104EPWR";1;"TXS0104EPWR";;;
33;"K12";"SFV8R-1STBE1HLF";1;"SFV8R-1STBE1HLF";;;
34;"C19,C18";"0603C";2;"100n-AC0603KRX7R8BB104";;;
35;"R21";"0603R";1;"0R";;;
36;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
37;"D1,D3";"SOD-323-2";2;"CUS10F30,H3F";;;
38;"U13,U15";"PCAL6416AHF,128";2;"PCAL6416AHF,128";;;
39;"C17,C16";"0603C";2;"10n-AC0603KRX7R8BB103";;;
40;"D12,D11";"M4_DIODA";2;"M4_DIODA";;;
41;"C27,C21,C61";"1206C";3;"10u";;;
42;"TP1,TP2";"TESTPOINT-HOLE";2;"TESTPOINT-HOLE";;;
43;"K52";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
44;"Q7,Q9";"SOT-23-3";2;"SSM3J358R,LF";;;
45;"R15,R13";"0603R";2;"1M";;;
46;"R17,R18,R51";"0603R";3;"5k1";;;
47;"R2";"0603R";1;"NTC-NCP18XH103F03RB";;;
48;"U1";"VQFN-49";1;"TPS65186RGZ";;;
49;"U10";"SOT26";1;"AP5726WG-7";;;
50;"C34,C35";"0603C";2;"12p";;;
51;"R50";"0603R";1;"15R";;;
52;"C43";"0603C";1;"1u";;;
53;"K11";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
54;"U9";"MCP47A1-SOT23-6";1;"MCP47A1";;;
55;"R16";"0603R";1;"52k3-RC0603FR-0752K3L";;;
56;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
57;"K10";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
58;"K3";"easyC-connector";1;"easyC-SMD";;;
59;"SW3,SW2";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
60;"Q13,Q4";"SOT-23-3";2;"NMOS";;;
61;"U6";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
62;"R55";"0603R";1;"330R";;;
63;"R34,R19";"0603R";2;"DNP";;;
64;"D8";"0402LED";1;"RED";;;
65;"JP5";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
66;"U11";"ED060XC3";1;"ED060XC3";;;
67;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
68;"U14";"ESP32-WROVER";1;"ESP32-WROVER";;;
69;"R32";"0603R";1;"2k49";;;
70;"K14";"FH34SRJ-34S-0.5SH(50)";1;"FH34SRJ-34S-0.5SH(50)";;;
71;"C42";"0603C";1;"4u7";;;
72;"L2";"NR4012";1;"NR4012T2R2M";;;
73;"D9";"LTST-S270GKT";1;"0603LED_SIDE";;;
74;"R29";"0603R";1;"510k";;;
75;"U12";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
76;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
77;"L3";"NR4012";1;"NR4012T220M";;;
78;"U5";"TSSOP-14";1;"MC14093BDTR2G";;;
79;"K1";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
80;"K4";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
81;"R3";"0603R";1;"43k-RC0603FR-0743KL";;;
82;"U2";"SOT-23-5";1;"TPS3840PL27DBVR";;;
83;"K13";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
84;"D13";"SOD-523";1;"RB510SM-40FHT2R";;;
